NSesssions,NTrials,Mean,SEM,Min,Max,Name,Type
607,155777,5.43162653230863,0.0461419500761201,2.72571428571429,13.4492753623188,observed,actions_per_trial
607,100452.75,6.101877071351,0.0227600436325613,4.95667095911396,9.73725202345748,all_param,actions_per_trial
607,99715.4124999999,6.13979192969648,0.0216354779350182,4.98500877610533,9.73725202345748,one_param,actions_per_trial
607,159837,3.79765858289013,0.000499268340671383,3.76789751318764,3.84172109104879,simu_high_beta,actions_per_trial
607,59147.1,10.2672619812125,0.00892978355030921,9.68054211035818,10.8695652173913,simu_uniform,actions_per_trial
607,155777,55.9035178625712,0.325282274299764,17.3913043478261,75,observed,frac_succ
607,100452.75,71.1765500484879,0.289036928508783,27.8612997090204,88.0012453300125,all_param,frac_succ
607,99715.4124999999,74.1582761070394,0.267113079130949,27.8612997090204,88.0012453300125,one_param,frac_succ
607,159837,99.9440468252243,0.00517284321276587,99.6186117467582,100,simu_high_beta,frac_succ
607,59147.1,20.0160240720309,0.051264197461484,16.4285714285714,23.9539748953975,simu_uniform,frac_succ
